Date,Symbols,Close,High,Low,Open,Volume
2021-10-28,BNTX,283.98,288.71,277.1,282.5,1468457
2021-10-28,MRNA,347.92,353.28,341.54,343.1,4738916
2021-10-28,AMZN,3446.57,3479.0,3386.0,3402.095,5708733
2021-10-27,AAPL.US,148.63,149.51,148.27,149.14,56176798
2021-10-27,GOOGL,2924.35,2973.0,2788.1,2788.1,4289070
2021-10-27,FB,312.22,319.25,312.06,314.19,29971761
2021-10-27,PFE,42.596,43.181,42.309,43.082,22513376
2021-10-27,BNTX,278.77,297.95,277.84,294.54,1914274
2021-10-27,MRNA,340.88,350.64,338.34,344.25,4716018
2021-10-27,AMZN,3392.49,3437.0,3371.4534,3388.0,2702224
2021-10-26,AAPL.US,149.1,150.62,148.79,149.11,60982267
2021-10-26,GOOGL,2786.17,2801.6588,2766.09,2785.27,2461751
2021-10-26,FB,315.81,330.2099,309.6,328.26,65654043
2021-10-26,PFE,43.181,43.379,42.547,42.953,29990008
2021-10-26,BNTX,292.39,304.35,290.63,295.51,2272378
2021-10-26,MRNA,345.74,356.77,341.37,352.0,6673474
2021-10-26,AMZN,3376.07,3416.12,3343.98,3349.51,2698342
2021-10-25,AAPL.US,148.42,149.15,147.41,148.46,50794581
2021-10-25,GOOGL,2748.94,2760.0,2708.48,2751.0,1720613
2021-10-25,FB,328.69,329.56,319.72,320.3,38408957
2021-10-25,PFE,42.775,42.864,42.2,42.824,23046782
2021-10-25,BNTX,294.92,295.51,278.6765,278.6765,2852958
2021-10-25,MRNA,349.56,350.06,323.27,327.36,9772171
2021-10-25,AMZN,3320.37,3347.7997,3297.7,3335.0,2225956
2021-10-22,AAPL.US,148.47,149.96,148.42,149.47,58969381
2021-10-22,GOOGL,2751.33,2811.655,2721.12,2783.0,2529448
2021-10-22,FB,324.61,329.63,321.11,326.345,35224543
2021-10-22,PFE,42.784,42.814,42.259,42.447,17333843
2021-10-22,BNTX,278.34,295.815,268.05,294.78,3558919
2021-10-22,MRNA,326.54,335.75,317.18,332.539,7780241
2021-10-22,AMZN,3335.55,3429.84,3331.3,3421.0,3139053
2021-10-21,AAPL.US,149.26,149.42,147.65,148.59,61510632
2021-10-21,GOOGL,2837.72,2843.12,2810.0,2835.38,1314613
2021-10-21,FB,341.88,342.31,337.8,340.275,16354423
2021-10-21,PFE,42.487,42.715,42.061,42.68,22336686
2021-10-21,BNTX,286.36,286.799,275.03,276.6,2558793
2021-10-21,MRNA,339.57,341.52,333.4001,337.21,5597599
2021-10-21,AMZN,3435.01,3440.28,3403.0,3414.25,1881385
2021-10-20,AAPL.US,149.04,149.54,147.9,148.48,58504048
2021-10-20,GOOGL,2835.38,2870.9218,2827.53,2866.76,1164403
2021-10-20,FB,340.78,343.98,339.4531,343.445,13639465
2021-10-20,PFE,42.428,42.735,41.734,41.753,22988309
2021-10-20,BNTX,269.42,273.97,265.0001,268.73,2029221
2021-10-20,MRNA,333.01,338.6,329.36,334.01,4983222
2021-10-20,AMZN,3415.06,3462.86,3400.37,3452.66,2139777
2021-10-19,AAPL.US,148.54,148.95,146.34,146.79,76490366
2021-10-19,GOOGL,2864.74,2873.25,2852.0,2867.75,1008150
2021-10-19,FB,339.99,342.46,337.28,339.645,18786316
2021-10-19,PFE,41.724,41.833,41.18,41.238,17310413
2021-10-19,BNTX,262.85,282.0,262.0,273.0,3854495
2021-10-19,MRNA,333.61,347.87,331.0101,339.105,8561130
2021-10-19,AMZN,3444.15,3454.69,3422.0,3434.29,2386079
2021-10-18,AAPL.US,146.34,146.63,142.95,143.24,85714090
2021-10-18,GOOGL,2855.56,2855.92,2821.389,2821.53,1019808
2021-10-18,FB,335.34,335.89,327.5,328.95,21585018
2021-10-18,PFE,40.96,41.337,40.683,41.089,21923760
2021-10-18,BNTX,261.09,261.13,245.03,245.34,2011888
2021-10-18,MRNA,334.84,338.54,320.5371,322.26,8753671
2021-10-18,AMZN,3446.74,3449.17,3385.1,3388.3576,3174115
2021-10-15,AAPL.US,144.63,144.68,143.3,143.56,68039491
2021-10-15,GOOGL,2827.36,2834.36,2815.1,2832.29,1513722
2021-10-15,FB,324.76,329.07,322.51,328.68,21596370
2021-10-15,PFE,41.129,41.664,41.02,41.535,23757065
2021-10-15,BNTX,247.68,252.8,245.28,252.8,1654029
2021-10-15,MRNA,324.21,341.5494,318.5,341.01,17239834
2021-10-15,AMZN,3409.02,3410.42,3304.0,3311.42,5179941
2021-10-14,AAPL.US,143.55,143.67,141.3,141.9,70009127
2021-10-14,GOOGL,2823.02,2826.745,2776.5,2789.4761,1596397
2021-10-14,FB,328.53,330.52,327.1,328.355,14302154
2021-10-14,PFE,41.307,41.591,41.154,41.198,17744713
2021-10-14,BNTX,250.33,257.34,249.0,253.13,1710632
2021-10-14,MRNA,331.88,337.36,322.1,329.0,12851338
2021-10-14,AMZN,3299.86,3312.6,3290.78,3302.4541,2112020
2021-10-13,AAPL.US,140.7,141.19,139.0,141.03,78877673
2021-10-13,GOOGL,2751.64,2760.0,2730.3763,2748.05,983116
2021-10-13,FB,324.54,327.0,322.66,326.97,14761470
2021-10-13,PFE,41.06,41.545,40.584,41.387,28453301
2021-10-13,BNTX,249.4,250.98,244.5,247.07,1440038
2021-10-13,MRNA,321.5,327.74,313.3,314.9,12770612
2021-10-13,AMZN,3284.28,3288.38,3261.0889,3269.71,2425086
2021-10-12,AAPL.US,141.3,143.04,140.83,143.02,73142452
2021-10-12,GOOGL,2728.98,2790.14,2715.2,2789.6,1816612
2021-10-12,FB,323.77,324.38,317.37,323.03,31658684
2021-10-12,PFE,41.486,41.843,41.297,41.793,16364692
2021-10-12,BNTX,243.77,248.42,240.13,247.73,1292000
2021-10-12,MRNA,311.13,315.94,301.9101,313.0346,10193213
2021-10-12,AMZN,3247.33,3267.528,3236.28,3257.0,1819571
2021-10-11,AAPL.US,142.6,144.6,141.6,142.06,64546285
2021-10-11,GOOGL,2778.28,2814.24,2777.18,2785.84,897681
2021-10-11,FB,325.45,330.46,325.31,327.625,14708224
2021-10-11,PFE,41.694,42.249,41.644,42.081,12089356
2021-10-11,BNTX,243.02,251.05,240.97,244.0,1244361
2021-10-11,MRNA,305.1,314.11,298.1,299.32,7625781
2021-10-11,AMZN,3246.3,3292.5899,3238.1,3275.0,2034203
2021-10-08,AAPL.US,142.69,143.97,142.35,143.82,58858932
